227953	197515
217323	191206
274842	220547
314767	247299
237590	208313
270478	219846
201377	184308
238125	202670
205427	182802
467785	301187
245993	215338
228758	199876
231103	202085
223097	197838
225414	193793
197906	181744
341665	259557
222526	199916
271670	217757
297689	230748
317388	246458
272010	226361
287672	229062
240796	204453
319895	248038
246598	210679
220356	191847
257614	210755
260867	218922
429972	267113
457415	290520
196355	174072
257221	211311
264566	214266
236301	198977
257461	209249
259112	215902
290706	222877
215736	186911
220628	186890
199839	179259
226837	195518
221615	187643
195357	170329
222080	190032
207545	182038
227633	194199
213353	184804
227766	195037
232694	195162
205889	186762
213507	183366
209282	180338
212619	182270
225782	183452
189445	167574
231967	193657
210470	181345
213528	181496
209409	183936
221958	184994
206993	169467
222987	184262
233300	186911
231553	183376
263571	199252
224374	183148
207859	179501
232477	190450
217332	177983
198361	170827
220601	181855
212557	181913
234938	196317
209181	178225
227164	193118
241724	199191
236278	187139
227433	190272
206851	175600
239704	202050
212199	180417
204611	179718
210468	196635
261141	212639
225698	194214
228986	194714
224035	184758
230261	186615
229596	187310
221004	182006
224415	176682
226430	181579
209814	179564
214843	178156
224129	190442
213419	181219
209516	180944
215765	180396
214367	181195
211721	182555
199316	171892
214283	180635
201061	172100
235307	194231
209010	176819
204488	175274
214205	182653
